Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Barito Selatan,91,123,129,134,244.12,108.86
Barito Utara,84,74,76,76,144.47,110.13
Sukamara,70,98,62,100,40.91,27.13
Lamandau,35,28,52,28,11.67,42.53
Seruyan,71,64,92,75,216.36,114.49
Katingan,105,53,58,49,96.07,55.99
Pulang Pisau,13,35,13,52,54.85,108.87
Gunung Mas,39,57,34,40,42.4,124.58
Barito Timur,56,49,85,78,151.12,41.03
Murung Raya,141,82,66,216,179.53,285.2
Kota Palangka Raya,136,70,65,86,146.32,117.58
Tanah Laut,30,21,28,48,30.96,93.91
Kota Baru,220,88,85,154,85.44,61.47
Banjar,59,79,47,106,150.4,56.52
Barito Kuala,29,42,47,66,30.37,69.37
Tapin,63,50,71,71,77.48,75.82
Hulu Sungai Selatan,29,37,40,61,52.9,59.97
Hulu Sungai Tengah,21,39,34,51,38.93,91.46
Hulu Sungai Utara,43,46,24,54,83.54,63.36
Tabalong,35,40,36,58,121.87,102.21
Tanah Bumbu,22,74,34,21,78.37,58.54
Balangan,17,50,18,39,53.21,17.8
Kota Banjarmasin,209,100,103,180,134.62,88.65
Kota Banjar Baru,117,111,282,199,232.06,89.95
Paser,31,54,61,68,105.25,81.76
Kutai Barat,67,47,29,93,30.19,43.87
Kutai Kartanegara,57,75,69,98,97.61,100.1
Kutai Timur,236,82,125,89,99.03,117.58
Berau,168,187,293,276,238.32,128.49
Penajam Paser Utara,51,93,78,57,58.43,59.65
Mahakam Ulu,31,26,33,45,37.24,89.96
Kota Balikpapan,184,121,177,172,208.18,224.36
Kota Samarinda,152,121,142,160,320.82,293.53
Kota Bontang,222,133,179,151,202.49,104.73
Malinau,61,22,19,35,65.7,22.93
Bulungan,54,64,83,127,73.6,103.06
Tana Tidung,135,138,251,84,154.45,76.43
Nunukan,63,96,87,71,195.46,142.41
Kota Tarakan,144,107,86,160,140.7,182.07
Bolaang Mongondow,2,8,8,5,10.6,2.66
Minahasa,12,5,22,46,26.99,67.12
Kepulauan Sangihe,29,16,12,33,9.94,12.41
Kepulauan Talaud,8,11,6,8,3.05,16.14
Minahasa Selatan,2,14,5,9,61.51,4.31
Minahasa Utara,65,64,50,59,139.84,60.42
Bolaang Mongondow Utara,11,13,7,32,41.65,7.04
Siau Tagulandang Biaro,8,22,12,6,47.33,9.78
Minahasa Tenggara,8,16,10,16,22.39,18.93
Bolaang Mongondow Selatan,9,7,1,2,2.49,38.27
Bolaang Mongondow Timur,11,14,11,21,21.53,8.06
Kota Manado,108,62,106,164,122.74,100.86
Kota Bitung,62,74,80,79,108.01,70.68
Kota Tomohon,29,14,30,48,72.11,42.14
Kota Kotamobagu,41,19,8,24,12.44,21.13
Banggai Kepulauan,3,1,7,10,22.44,9.66
Banggai,42,20,24,11,51.34,29.95
Morowali,95,95,53,187,50.31,149.01
