Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Kota Kediri,120,102,139,166,164.46,176.23
Kota Blitar,120,89,110,107,97.75,117.79
Kota Malang,159,177,194,159,254.43,215.63
Kota Probolinggo,367,305,340,411,338.27,455.36
Kota Pasuruan,255,222,242,250,290.32,329.93
Kota Mojokerto,252,259,239,350,350.2,338.46
Kota Madiun,164,144,128,188,192.85,169.31
Kota Surabaya,214,180,235,315,289.48,356.66
Kota Batu,223,161,212,251,271.29,276.19
Pandeglang,205,191,260,316,284.73,270.37
Lebak,209,216,189,268,255.51,275.83
Tangerang,189,217,238,231,248.77,273.84
Serang,188,242,236,239,240.09,248.63
Kota Tangerang,183,160,202,199,211.27,252.15
Kota Cilegon,121,135,151,249,143.56,184.08
Kota Serang,148,155,158,175,172.68,171.29
Kota Tangerang Selatan,165,124,140,135,133.59,174.72
Jembrana,222,219,196,208,198.49,232.02
Tabanan,202,196,162,224,206.56,276.37
Badung,145,152,133,151,139.25,177.81
Gianyar,174,184,200,258,229.63,264.05
Klungkung,293,236,309,219,265.29,436.82
Bangli,198,176,206,194,195.13,240.68
Karangasem,289,208,241,238,227.88,319.31
Buleleng,179,212,196,224,216.03,269.93
Kota Denpasar,168,134,178,184,239.13,263.09
Lombok Barat,565,587,557,684,662.78,670.59
Lombok Tengah,803,733,720,805,656.72,748.69
Lombok Timur,809,797,849,1123,912.11,1037.95
Sumbawa,247,212,215,291,242.97,286.68
Dompu,99,120,141,148,140.98,146.21
Bima,71,114,87,106,117.94,131.86
Sumbawa Barat,285,243,269,314,287.06,261.91
Lombok Utara,481,493,467,522,544.46,613.97
Kota Mataram,497,452,424,606,587.75,613.05
Kota Bima,72,70,121,117,76,106.08
Sumba Barat,5,14,12,16,17.75,42.11
Sumba Timur,34,33,43,55,49.08,50.71
Kupang,33,24,41,31,32.28,45.76
Timor Tengah Selatan,32,32,33,20,46.6,29.25
Timor Tengah Utara,40,37,31,51,48.18,38.56
Belu,37,27,46,52,46.41,62.67
Alor,44,45,24,47,24.99,44.67
Lembata,18,25,21,18,14.62,9.96
Flores Timur,17,30,14,5,37.98,27.81
Sikka,16,14,17,18,21.52,14.12
Ende,21,12,19,32,14.41,22.39
Ngada,24,35,29,23,13.42,28.52
Manggarai,19,30,34,31,18.18,17.01
Rote Ndao,53,37,62,84,29.33,43.43
Manggarai Barat,22,23,8,17,29.27,18.53
Sumba Tengah,26,13,17,28,26.47,43.61
Sumba Barat Daya,11,10,23,15,27.99,35.14
Nagekeo,15,7,17,20,21.83,8.76
Manggarai Timur,4,4,4,4,3.38,0.04
Sabu Raijua,18,10,109,11,24.22,38.81
Malaka,4,11,9,19,5.75,15.48
Kota Kupang,109,93,123,146,90.15,194.86
Sambas,498,518,467,551,444.49,503.2
Bengkayang,393,487,429,475,414.94,388.41
Landak,187,133,197,162,227.74,146.79
Mempawah,160,169,139,124,182.1,163.2
Sanggau,135,142,131,136,221.04,141.75
Ketapang,587,543,490,774,531.07,646.46
Sintang,143,127,188,156,164.19,199.92
Kapuas Hulu,176,176,155,123,254.65,188.65
Sekadau,103,116,190,159,202.17,144.9
