Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Ketapang,92,119,140,172,116.12,155.83
Sintang,96,115,81,109,125.81,176.19
Kapuas Hulu,50,38,65,29,160.51,77.51
Sekadau,46,17,46,45,94.75,71
Melawi,135,66,75,110,148.47,154.39
Kayong Utara,179,208,192,151,216.84,265.51
Kubu Raya,83,73,123,114,95.64,120.16
Kota Pontianak,98,70,87,100,165.32,90.65
Kota Singkawang,73,59,88,72,65.03,82.24
Kotawaringin Barat,237,261,235,324,325.56,329.12
Kotawaringin Timur,111,69,118,208,242.39,216.36
Kapuas,46,41,93,91,40.38,75.19
Barito Selatan,121,87,68,73,65.57,80.85
Barito Utara,100,97,94,116,98.67,131.21
Sukamara,230,244,276,294,339.34,348.43
Lamandau,334,253,363,311,450.02,401.31
Seruyan,160,151,175,255,292.61,250.48
Katingan,75,130,136,208,145.97,92.45
Pulang Pisau,115,161,120,159,176.8,196.66
Gunung Mas,35,60,67,61,37.83,78.87
Barito Timur,60,58,56,80,89.13,84.41
Murung Raya,80,89,50,94,114.88,96.15
Kota Palangka Raya,134,123,157,135,210.62,81.89
Tanah Laut,68,73,87,98,99.12,93.79
Kota Baru,91,59,91,114,149.07,113
Banjar,37,21,45,38,56.55,62.96
Barito Kuala,57,64,44,50,78.77,58.43
Tapin,64,37,58,89,88.98,57.07
Hulu Sungai Selatan,11,16,11,8,15.07,25.7
Hulu Sungai Tengah,21,17,8,22,25.46,29.15
Hulu Sungai Utara,8,7,28,16,9.4,7.25
Tabalong,51,56,57,64,98.19,67.22
Tanah Bumbu,118,88,103,140,159.52,145.83
Balangan,12,12,19,24,24.84,19.9
Kota Banjarmasin,38,18,24,27,45.83,23.33
Kota Banjar Baru,96,101,140,138,155.75,140.18
Paser,96,53,136,175,140.54,155.64
Kutai Barat,113,78,89,126,122.82,107.84
Kutai Kartanegara,125,79,113,154,136.12,181.21
Kutai Timur,156,181,247,259,188.17,245.08
Berau,166,127,171,186,146.63,162.34
Penajam Paser Utara,121,117,153,161,147.39,144.52
Mahakam Ulu,135,120,171,173,285.96,272.13
Kota Balikpapan,121,62,79,79,173.53,91.41
Kota Samarinda,103,81,136,107,128.66,120.58
Kota Bontang,92,141,116,153,133.88,152.97
Malinau,99,72,116,99,167.83,141.35
Bulungan,102,109,125,104,116.14,155.21
Tana Tidung,61,102,105,146,87.76,176.36
Nunukan,59,55,52,47,126.2,35.17
Kota Tarakan,90,85,98,107,153.9,145.27
Bolaang Mongondow,10,9,8,23,33.58,24.11
Minahasa,9,1,3,8,12.02,13.46
Kepulauan Sangihe,12,3,3,13,3.54,0.06
Kepulauan Talaud,3,5,-,15,13.85,10.31
Minahasa Selatan,1,2,7,4,37.45,2.22
Minahasa Utara,25,12,6,4,74.63,20.03
Bolaang Mongondow Utara,41,68,96,57,15.04,17.98
Siau Tagulandang Biaro,6,1,2,1,1.34,9.93
Minahasa Tenggara,7,16,2,1,4.24,0.09
Bolaang Mongondow Selatan,16,35,30,24,28.82,15.88
Bolaang Mongondow Timur,6,14,5,7,31.29,1.93
Kota Manado,28,12,14,22,28.4,15.14
Kota Bitung,37,18,21,55,30.71,37.57
Kota Tomohon,4,2,8,6,19.72,11.87
Kota Kotamobagu,12,7,2,26,20.63,5.94
Banggai Kepulauan,2,4,21,8,4.12,5.69
Banggai,48,48,72,87,82,54.37
Morowali,23,33,49,40,31.46,28.78
Poso,36,29,48,52,46.3,51.23
Donggala,26,36,31,44,47.23,40.88
Toli-Toli,32,35,29,24,50.88,19.91
Buol,38,56,52,75,42.9,42.75
Parigi Moutong,46,83,67,73,88.47,69.35
Tojo Una-Una,26,69,35,43,46.93,20.98
Sigi,21,30,19,25,42.56,65.31
Banggai Laut,16,12,1,13,22.13,72.3
Morowali Utara,55,26,43,54,45.08,67.2
Kota Palu,46,48,52,22,57.1,104.21
Kepulauan Selayar,33,76,38,38,72.37,94.18
Bulukumba,17,14,22,18,21.22,14.41
Bantaeng,13,17,42,22,22.96,29.2
Jeneponto,7,4,13,14,14.51,6.28
