Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Landak,392,358,462,465,541.74,641.23
Mempawah,268,299,329,316,340.09,383.22
Sanggau,382,341,391,357,354.37,374.18
Ketapang,438,417,463,452,597.36,409.92
Sintang,410,374,487,448,581.3,586.36
Kapuas Hulu,324,362,491,465,685.66,579.6
Sekadau,407,524,637,502,514.85,573.14
Melawi,420,389,444,514,423.2,476.99
Kayong Utara,576,468,594,584,519.06,603.68
Kubu Raya,333,298,314,356,338.23,343.22
Kota Pontianak,294,271,260,286,340.23,278.93
Kota Singkawang,224,229,268,263,270.13,277.9
Kotawaringin Barat,335,361,361,450,510.77,449.38
Kotawaringin Timur,354,329,332,515,529.81,426.7
Kapuas,465,459,423,411,597.81,523.49
Barito Selatan,664,570,677,704,630.42,577.86
Barito Utara,510,354,550,565,517.66,453.79
Sukamara,522,414,460,443,650.96,510.39
Lamandau,625,503,653,689,780.63,863.93
Seruyan,472,337,330,558,779.54,815.88
Katingan,399,435,442,721,466.9,824.99
Pulang Pisau,461,560,490,566,631.3,623.62
Gunung Mas,467,541,557,460,473.5,727.43
Barito Timur,522,543,510,586,580.46,583.71
Murung Raya,681,794,738,838,936.68,886.42
Kota Palangka Raya,361,275,255,355,434.49,317.09
Tanah Laut,301,268,267,391,401.82,406.65
Kota Baru,428,323,346,384,412.2,450.04
Banjar,358,277,300,320,321.42,297.5
Barito Kuala,385,344,389,392,442.14,451.45
Tapin,371,353,281,390,427.48,432.07
Hulu Sungai Selatan,292,372,345,345,392.79,348.18
Hulu Sungai Tengah,334,362,256,354,365.11,280.33
Hulu Sungai Utara,318,338,324,402,391.82,375.12
Tabalong,313,322,339,343,384.1,432.6
Tanah Bumbu,248,279,285,325,343.09,286.32
Balangan,269,230,277,319,330.52,296.78
Kota Banjarmasin,213,187,167,207,281.16,180.46
Kota Banjar Baru,286,309,292,250,322.92,278.87
Paser,341,356,382,411,468.49,525.48
Kutai Barat,496,466,418,339,387.04,447.87
Kutai Kartanegara,336,271,317,339,329.3,381.11
Kutai Timur,500,449,492,600,568.05,630.43
Berau,418,394,414,441,546.62,499.67
Penajam Paser Utara,288,313,328,401,375.53,382.27
Mahakam Ulu,424,496,623,596,572.82,860.87
Kota Balikpapan,223,178,171,196,284.71,246.73
Kota Samarinda,250,229,232,231,268.39,312.18
Kota Bontang,323,362,321,335,336.01,343.38
Malinau,533,554,566,623,798.47,667.93
Bulungan,469,423,507,568,577.55,599.88
Tana Tidung,388,506,655,806,780.62,736.46
Nunukan,343,453,465,459,649.81,561.23
Kota Tarakan,144,176,170,242,428.55,369.52
Bolaang Mongondow,298,326,352,346,358.43,301.27
Minahasa,274,254,253,277,335.51,331.11
Kepulauan Sangihe,217,188,186,199,250.42,224.63
Kepulauan Talaud,322,310,306,421,451.73,467.04
Minahasa Selatan,270,270,299,345,333.26,357.54
Minahasa Utara,200,256,299,276,335.76,270.73
Bolaang Mongondow Utara,377,353,366,374,395.77,348.23
Siau Tagulandang Biaro,223,221,253,247,234.57,243.23
Minahasa Tenggara,308,291,315,313,274.99,288.97
Bolaang Mongondow Selatan,287,316,279,292,327.84,227.75
Bolaang Mongondow Timur,320,261,312,346,390.49,350.49
Kota Manado,246,232,263,220,378.64,259.56
Kota Bitung,309,251,286,264,317.52,381.83
Kota Tomohon,226,189,179,212,306.76,347.32
Kota Kotamobagu,234,256,200,231,244.16,210.18
Banggai Kepulauan,373,317,373,417,444.97,474.11
Banggai,320,279,283,237,364.95,416.34
Morowali,443,457,438,401,579.98,767.41
Poso,464,476,432,430,460.19,444.63
Donggala,312,297,320,344,397.63,352.48
Toli-Toli,275,292,215,197,271.09,202.33
Buol,423,373,352,304,261.99,283.79
Parigi Moutong,342,264,288,276,336.36,334.31
Tojo Una-Una,364,588,502,548,491.06,490.45
Sigi,407,298,395,383,325.84,425.38
Banggai Laut,361,324,333,361,441.52,502.93
Morowali Utara,546,573,525,516,431.18,487.74
Kota Palu,227,190,197,213,355.51,246.85
Kepulauan Selayar,278,216,246,365,336.59,406.21
Bulukumba,206,195,158,187,247.7,264.45
Bantaeng,239,248,270,266,266.8,273.63
Jeneponto,178,201,226,218,263.36,314.83
Takalar,196,212,213,232,265.82,271.53
Gowa,205,204,210,203,261.12,304.53
Sinjai,184,193,200,177,114.02,196.05
Maros,270,276,284,231,335.11,397.68
Pangkajene dan Kepulauan,316,231,256,342,285.65,308.21
Barru,264,231,253,263,316.15,330.82
Bone,201,193,153,161,170.61,175.56
Soppeng,231,260,288,319,296.35,322.24
Wajo,359,372,331,355,315.71,317.72
Sidenreng Rappang,175,155,175,196,235.94,232.25
Pinrang,166,162,122,112,123.52,177.81
Enrekang,203,254,222,237,249.09,319.52
Luwu,363,304,281,263,264.44,312.34
Tana Toraja,253,244,249,281,293.59,329.2
Luwu Utara,399,325,287,266,295.39,423.61
Luwu Timur,313,276,318,320,327.14,283.92
Toraja Utara,184,229,279,286,248.2,259.19
Kota Makasar,236,147,231,222,340.4,257.03
Kota Parepare,211,216,215,249,238.97,209.61
Kota Palopo,258,207,181,174,226.52,230.4
Buton,273,264,222,279,278.5,336.07
Muna,223,280,223,228,230.71,270.31
Konawe,228,275,218,202,243.09,275.34
Kolaka,183,230,274,279,290.57,378.86
Konawe Selatan,210,271,228,232,237.1,245.73
Bombana,268,297,378,307,421.73,407.85
Wakatobi,417,355,408,314,387.36,600.91
Kolaka Utara,269,315,277,279,284.18,309.21
Buton Utara,349,368,340,379,357.55,328.47
Konawe Utara,284,312,268,338,293.78,390.96
Kolaka Timur,172,169,257,224,218.89,228.13
Konawe Kepulauan,227,222,159,196,192.21,222
Muna Barat,218,288,252,208,197.72,239.12
Buton Tengah,338,315,225,249,330.86,334.44
Buton Selatan,194,316,268,294,278.98,423.85
Kota Kendari,267,196,226,231,289.46,251.55
Kota Baubau,271,277,264,314,344.09,289.52
Boalemo,294,262,270,267,287.22,272.66
Gorontalo,225,160,166,213,180.65,195.5
Pohuwato,284,261,223,282,219.33,206.35
Bone Bolango,197,150,158,161,156.58,195.31
Gorontalo Utara,342,289,351,364,271.66,325.48
Kota Gorontalo,260,183,175,185,196.34,174.79
Majene,127,164,152,176,187.29,192.9
Polewali Mandar,190,178,177,189,217.61,261.65
Mamasa,359,297,361,347,393.09,346.82
Mamuju,240,265,246,263,355.51,299.2
Mamuju Utara,463,410,378,392,438.45,434.1
Mamuju Tengah,311,251,265,260,249.34,325.04
Maluku Tenggara Barat,337,289,356,367,357.42,321.25
Maluku Tenggara,213,160,194,218,236.95,339.36
Maluku Tengah,278,357,547,539,433.51,519.39
Buru,307,316,328,378,535.43,528.39
Kepulauan Aru,173,197,234,248,263.64,334.95
Seram Bagian Barat,224,396,434,412,581.56,605.18
Seram Bagian Timur,585,478,552,516,514.78,665.29
Maluku Barat Daya,279,299,259,329,393.03,498.3
Buru Selatan,342,444,422,440,480.5,570.69
Kota Ambon,314,268,249,287,344.98,240.96
Kota Tual,206,118,146,152,245.19,431.13
Halmahera Barat,429,375,412,388,392.37,652.18
Halmahera Tengah,366,432,468,352,378.2,551.99
Kepulauan Sula,248,288,238,270,301.63,554.66
Halmahera Selatan,258,366,308,398,343.3,393.89
Halmahera Utara,297,226,252,280,332.26,303.6
Halmahera Timur,303,339,367,457,438.18,425.98
Pulau Morotai,297,479,412,403,487.24,786.61
Pulau Taliabu,318,259,337,343,329.92,344.72
Kota Ternate,134,132,193,189,222.45,266.18
Kota Tidore Kepulauan,218,158,211,223,257.94,345.2
Fakfak,398,444,569,600,693.75,543.43
Kaimana,438,474,573,497,447.04,443.87
Teluk Wondama,478,546,559,564,491.26,672.03
Teluk Bintuni,446,405,424,629,604.27,679.63
Manokwari,282,365,373,377,650.64,684.41
Sorong Selatan,233,392,446,399,278.84,261.33
Sorong,257,348,326,402,484.44,463.44
Raja Ampat,321,456,481,504,586.98,756.36
Tambrauw,138,334,295,505,612.98,614.31
Maybrat,443,409,473,434,451.44,360.29
Manokwari Selatan,348,329,429,426,465.24,676.87
Pegunungan Arfak,294,330,366,522,624.59,636.19
Kota Sorong,350,336,317,398,550.37,396.56
Merauke,390,323,317,282,338.42,233.99
Jayawijaya,694,490,791,794,1039.82,887.9
Jayapura,365,263,242,453,494.91,614.81
Nabire,514,652,700,784,626.36,449.38
Kepulauan Yapen,248,363,496,554,494.63,674.21
Biak Numfor,350,333,386,469,386.12,333.55
Paniai,847,645,851,833,999.98,824.95
Puncak Jaya,1234,563,5188,4727,4501.87,7962.7
Mimika,315,279,331,356,319.29,344.84
Boven Digoel,370,388,282,470,466.13,431.62
Mappi,552,392,297,493,528.44,779.06
Asmat,704,606,678,803,698.46,718.02
Yahukimo,607,967,1274,789,780.81,735.17
Pegunungan Bintang,1032,1240,1121,1096,1008.56,723.97
Tolikara,546,556,532,502,700.94,522.56
Sarmi,155,264,146,138,146.45,146.85
Keerom,354,368,420,563,544.18,642.68
Waropen,373,338,305,443,282.13,380.33
Supiori,485,377,344,495,510.4,558.92
Mamberamo Raya,122,99,100,149,164.56,149.18
Nduga,1162,1650,2505,7039,4302.5,3447.24
Lanny Jaya,1600,1837,1763,2484,2944.86,2509.77
Mamberamo Tengah,1531,1250,1016,632,1263.53,1006.49
Yalimo,996,1097,1008,1931,1823.39,2327.85
Puncak,1370,1369,1255,1539,1566.45,1551.64
Dogiyai,1151,653,463,738,796.54,826.02
Intan Jaya,1052,1338,1744,1631,1536.62,2289.52
Deiyai,981,648,862,980,975.1,750.52
Kota Jayapura,421,420,324,278,285.27,335.44
