Kota Denpasar,118,132,126,209,248.7,181.67
Lombok Barat,41,77,61,27,75.49,71.5
Lombok Tengah,28,28,46,64,27.45,41.07
Lombok Timur,23,21,54,67,41.5,53.36
Sumbawa,39,29,34,84,70.9,144.3
Dompu,55,28,25,34,15.02,29.61
Bima,71,20,14,23,45.54,42.75
Sumbawa Barat,102,64,139,162,100.82,146.51
Lombok Utara,17,29,24,21,43.37,42.48
Kota Mataram,106,128,134,145,234.19,128.73
Kota Bima,73,70,92,93,86.5,72.6
Sumba Barat,14,9,43,31,13.51,44.61
Sumba Timur,15,5,3,23,16.68,6.64
Kupang,6,17,2,2,4.56,18.56
Timor Tengah Selatan,8,16,2,9,11.71,10.61
Timor Tengah Utara,24,5,15,12,-,6.94
Belu,6,14,5,4,5.61,0.08
Alor,46,19,10,53,4.8,38.22
Lembata,40,13,22,22,55.63,26.77
Flores Timur,8,39,65,21,17.97,32.43
Sikka,30,14,8,11,24.01,3.42
Ende,37,36,12,53,34.77,71.87
Ngada,38,20,13,30,17.82,16.82
Manggarai,8,12,10,17,33.42,30.33
Rote Ndao,10,33,3,9,4.1,34.94
Manggarai Barat,33,7,26,32,45.4,31.42
Sumba Tengah,7,8,10,3,21.75,28.38
Sumba Barat Daya,9,2,6,9,8.11,3.57
Nagekeo,22,5,-,19,5.86,45.63
Manggarai Timur,2,17,13,14,1.77,-
Sabu Raijua,6,3,5,9,18.26,50.12
Malaka,7,39,-,9,9.05,23.13
Kota Kupang,33,46,25,54,59.13,70.07
Sambas,34,46,31,68,46.58,26.7
Bengkayang,7,11,26,14,16.95,22.67
Landak,16,5,22,22,32.63,15.85
Mempawah,35,34,29,54,56.62,73.07
Sanggau,66,61,51,96,92.24,136.6
Ketapang,20,40,14,16,56.96,31.96
Sintang,65,20,31,48,98.98,85.62
Kapuas Hulu,68,28,54,12,73.55,103.05
Sekadau,49,47,123,105,88.07,78.77
Melawi,31,90,102,136,142.13,118.59
Kayong Utara,52,25,43,64,83.66,53.81
Kubu Raya,23,66,56,47,56.83,38.69
Kota Pontianak,179,107,126,214,245.61,197.73
Kota Singkawang,65,66,91,93,64.38,49.68
Kotawaringin Barat,53,61,86,162,99.38,218.66
Kotawaringin Timur,76,51,48,119,135.72,63.64
Kapuas,33,86,53,32,44.13,45.46
Barito Selatan,33,31,23,55,107.09,65.9
Barito Utara,59,60,23,108,185.98,167.78
Sukamara,125,146,107,112,187.26,85.85
Lamandau,101,103,109,206,180.36,120.87
Seruyan,42,74,84,87,241.94,184.5
Katingan,60,38,37,44,45.35,72.06
Pulang Pisau,51,62,50,94,80.04,58.39
Gunung Mas,38,22,51,18,65.42,29.66
Barito Timur,72,93,76,120,123.09,82.67
Murung Raya,56,51,42,89,87.79,84.29
Kota Palangka Raya,158,151,92,137,241.83,159.14
Tanah Laut,21,45,56,78,90,78.61
Kota Baru,187,206,119,150,194.32,145.39
Banjar,68,75,94,148,119.9,96.25
Barito Kuala,61,56,57,112,64.97,64.56
Tapin,45,105,80,172,151.22,67.66
Hulu Sungai Selatan,21,43,56,70,85.24,62.73
Hulu Sungai Tengah,66,56,27,97,59.86,77.46
Hulu Sungai Utara,36,54,34,115,34.06,24.9
Tabalong,67,82,174,124,213.61,94.83
Tanah Bumbu,50,125,98,105,145.39,164.84
Balangan,50,32,54,29,118.69,101.74
Kota Banjarmasin,216,81,145,179,171.29,110.38
Kota Banjar Baru,170,189,406,301,434.33,305.89
Paser,102,28,81,163,154.69,137.85
Kutai Barat,35,28,52,36,36.86,32.88
Kutai Kartanegara,86,113,98,94,152.1,130
Kutai Timur,185,230,166,212,205.48,202.96
Berau,195,175,189,329,323.41,146.17
Penajam Paser Utara,62,107,98,63,93.01,64.96
Mahakam Ulu,17,98,15,62,42.96,48.56
Kota Balikpapan,190,110,136,163,274.47,215.72
Kota Samarinda,184,119,171,199,296.82,315.87
Kota Bontang,145,153,167,215,241.31,196.26
Malinau,46,82,53,72,121.72,201.39
Bulungan,102,106,115,141,177.46,144.94
Tana Tidung,37,214,134,168,237.14,125.89
Nunukan,207,171,120,99,165.36,147.95
Kota Tarakan,88,80,84,91,148.46,146.02
Bolaang Mongondow,16,7,18,22,33.7,8.28
Minahasa,30,16,27,35,35.94,53.03
Kepulauan Sangihe,41,17,43,10,12.53,15.57
Kepulauan Talaud,6,29,10,45,29.26,53.02
Minahasa Selatan,18,6,14,9,56.23,6.48
Minahasa Utara,83,64,79,38,133.08,55.7
Bolaang Mongondow Utara,25,21,43,12,59.37,15.99
Siau Tagulandang Biaro,43,43,42,3,51.51,18.04
Minahasa Tenggara,11,22,18,8,32.82,19.1
Bolaang Mongondow Selatan,29,17,10,62,36.93,51.81
Bolaang Mongondow Timur,14,52,23,43,76.66,45.7
Kota Manado,125,60,94,120,105.7,84.49
Kota Bitung,69,47,62,74,84.32,89.14
Kota Tomohon,34,8,9,38,29.27,46.37
Kota Kotamobagu,63,22,24,49,37.65,20.22
Banggai Kepulauan,10,4,34,61,42.3,11.35
Banggai,66,57,32,31,133.39,36.61
Morowali,106,111,97,207,94.49,177.03
Poso,30,45,66,79,105.52,47.75
Donggala,52,55,36,44,71.88,47.12
Toli-Toli,83,97,116,88,145.05,126.18
Buol,88,55,62,88,69.62,73.85
Parigi Moutong,26,60,27,52,102.12,78.51
Tojo Una-Una,13,44,61,56,63.49,32.95
Sigi,26,17,28,56,56.06,119.17
Banggai Laut,55,81,7,43,48.83,40.03
Morowali Utara,49,59,40,117,62.52,103.83
Kota Palu,136,106,76,88,172.63,160.05
Kepulauan Selayar,84,85,84,38,59.71,114.7
Bulukumba,61,52,16,31,39.4,57.7
Bantaeng,20,41,45,20,28.86,31.5
Jeneponto,44,36,18,68,39.75,46.27
Takalar,31,58,36,34,37.86,40.48
Gowa,81,56,104,84,122.3,124.88
Sinjai,29,48,34,120,63.03,27.12
Maros,68,91,44,135,127.83,127.52
Pangkajene dan Kepulauan,71,35,70,52,113.34,168.49
Barru,62,62,75,86,128.14,124.76
Bone,75,66,51,67,76.56,64.48
Soppeng,40,47,70,118,52.54,96.33
Wajo,99,101,81,99,125.02,134.04
Sidenreng Rappang,59,79,70,73,84.31,76.46
Pinrang,60,50,75,160,58.41,117.34
Enrekang,107,35,50,61,74.93,77.11
Luwu,93,57,89,82,98.33,93.2
Tana Toraja,17,15,40,10,7.04,7.49
Luwu Utara,83,57,68,86,120.58,115.61
Luwu Timur,89,97,69,116,69.58,140.66
Toraja Utara,15,36,4,10,0.47,11.33
Kota Makasar,163,130,162,175,225.21,144.94
Kota Parepare,142,70,85,233,177.14,151.22
Kota Palopo,70,85,77,145,164.62,162.54
Buton,44,80,64,55,50.56,76.35
Muna,14,54,38,40,74.07,44.62
Konawe,74,62,54,92,108.81,68.03
Kolaka,54,53,118,79,77.06,111.76
Konawe Selatan,42,25,30,54,35.86,56.33
Bombana,82,73,125,83,130.5,129
Wakatobi,67,42,79,101,111.17,213.64
Kolaka Utara,111,161,73,151,123.84,109.4
Buton Utara,58,50,61,117,28.65,87.17
Konawe Utara,87,120,127,158,180.11,166.93
Kolaka Timur,96,64,48,69,120.43,17.27
Konawe Kepulauan,55,54,53,99,67.19,193.4
Muna Barat,18,22,23,29,22.73,29.37
Buton Tengah,130,15,13,26,64.57,62.67
Buton Selatan,9,48,50,48,56.47,87.16
Kota Kendari,160,150,135,137,318.85,244.38
Kota Baubau,100,85,160,159,205.05,108.84
Boalemo,25,32,30,42,46.63,27.87
Gorontalo,11,22,24,79,36.97,59.39
Pohuwato,23,25,16,42,18.17,14.25
Bone Bolango,62,22,47,84,46.21,39.95
Gorontalo Utara,28,11,30,49,60.45,46.27
Kota Gorontalo,45,59,25,57,134.96,107.09
Majene,43,77,59,93,44.76,70.21
Polewali Mandar,55,54,58,44,47.32,48.87
Mamasa,14,4,12,4,9.73,18.8
Mamuju,62,39,36,59,57.72,72.14
Mamuju Utara,197,130,131,152,124.31,184.01
Mamuju Tengah,21,41,65,107,126.24,62.26
Maluku Tenggara Barat,66,57,63,86,26.83,61.22
Maluku Tenggara,96,70,76,94,141.92,106.88
Maluku Tengah,144,95,66,124,114.18,142.22
Buru,161,103,105,148,229.71,140.64
Kepulauan Aru,76,68,136,128,18.21,109.34
Seram Bagian Barat,70,80,55,133,190.32,66.32
